proposal,pillar,ticker,name,asset_type,sector,style,region,strategy_bucket,target_weight_pct,role
HybridFortress,Bedrock,VTI,Vanguard Total Stock Market ETF,ETF,Broad Market,Core Index,US,Core ETF,10.0,US total market core
HybridFortress,Bedrock,VOO,Vanguard S&P 500 ETF,ETF,Broad Market,Core Index,US,Core ETF,10.0,US large-cap core
HybridFortress,Bedrock,VT,Vanguard Total World Stock ETF,ETF,Broad Market,Global Core,Global,Core ETF,10.0,Global equity anchor
HybridFortress,Bedrock,SPYM,SPDR Portfolio S&P 500 High Dividend ETF,ETF,Broad Market,Large Cap Blend,US,Core ETF,10.0,Low-cost S&P complement
HybridFortress,Rocket,QQQM,Invesco NASDAQ 100 ETF,ETF,Technology,Large Cap Growth,US,Growth ETF,8.0,Broad tech growth exposure
HybridFortress,Rocket,SMH,VanEck Semiconductor ETF,ETF,Technology,Semiconductors,Global,Growth ETF,6.0,High-conviction semiconductor growth
HybridFortress,Rocket,SOXX,iShares Semiconductor ETF,ETF,Technology,Semiconductors,US,Growth ETF,6.0,US chip ecosystem growth
HybridFortress,Fuel,SCHD,Schwab U.S. Dividend Equity ETF,ETF,Dividend Equity,Income Quality,US,Income ETF,5.0,Dividend stability
HybridFortress,Fuel,VIG,Vanguard Dividend Appreciation ETF,ETF,Dividend Equity,Dividend Growth,US,Income ETF,5.0,Dividend growth quality
HybridFortress,Fuel,DGRO,iShares Core Dividend Growth ETF,ETF,Dividend Equity,Dividend Growth,US,Income ETF,5.0,Broad dividend growth
HybridFortress,Escape,VXUS,Vanguard Total International Stock ETF,ETF,International Equity,International Broad,Global ex-US,International ETF,4.0,Broad global diversification
HybridFortress,Escape,VEA,Vanguard FTSE Developed Markets ETF,ETF,International Equity,Developed Markets,Developed ex-US,International ETF,3.0,Developed market stability
HybridFortress,Escape,VWO,Vanguard FTSE Emerging Markets ETF,ETF,International Equity,Emerging Markets,Emerging Markets,International ETF,3.0,Emerging market growth
HybridFortress,Shield,GLD,SPDR Gold Shares,ETF,Commodities,Gold,Global,Inflation Hedge,2.0,Liquid gold hedge
HybridFortress,Shield,IAU,iShares Gold Trust,ETF,Commodities,Gold,Global,Inflation Hedge,1.5,Low-cost gold hedge
HybridFortress,Shield,SGLN,abrdn Physical Gold Shares ETF,ETF,Commodities,Gold,Global,Inflation Hedge,1.5,Physical gold allocation
HybridFortress,Research,XLK,Technology Select Sector SPDR Fund,ETF,Technology,Growth Core,US,Sector ETF,2.0,Tech sector satellite
HybridFortress,Research,XLF,Financial Select Sector SPDR Fund,ETF,Financials,Cyclical Core,US,Sector ETF,2.0,Financial sector satellite
HybridFortress,Research,XLU,Utilities Select Sector SPDR Fund,ETF,Utilities,Defensive Yield,US,Sector ETF,2.0,Utilities sector satellite
HybridFortress,Research,ITA,iShares U.S. Aerospace & Defense ETF,ETF,Industrials,Defense Tilt,US,Sector ETF,2.0,Aerospace/Defense satellite
HybridFortress,Research,VNQ,Vanguard Real Estate ETF,ETF,Real Estate,REIT Core,US,Sector ETF,2.0,Real Estate sector satellite
