symbol,description,intended_weight_pct,actual_weight_pct,drift_pct,abs_drift_pct,missing_in_actual,actual_pct_return
QQQM,INVESCO EXCH TRADED FD TR II NASDAQ 100 ETF,8.0000,0.9801,-7.0199,7.0199,0,0.20
SMH,VANECK ETF TRUST SEMICONDUCTR ETF,6.0000,2.9786,-3.0214,3.0214,0,0.07
VNQ,VANGUARD REAL ESTATE ETF,2.0000,4.0069,2.0069,2.0069,0,0.20
GLD,SPDR Gold Shares,2.0000,0.0000,-2.0000,2.0000,1,0.00
SPYM,SPDR PORTFOLIO S&P 500 ETF,10.0000,8.0139,-1.9861,1.9861,0,0.24
SGLN,abrdn Physical Gold Shares ETF,1.5000,0.0000,-1.5000,1.5000,1,0.00
VOO,VANGUARD INDEX FUNDS S&P 500 ETF USD,10.0000,10.0164,0.0164,0.0164,0,0.25
SCHD,SCHWAB US DIVIDEND EQUITY ETF,5.0000,5.0162,0.0162,0.0162,0,0.10
ITA,ISHARES TR US AER DEF ETF,2.0000,1.9874,-0.0126,0.0126,0,0.05
VTI,VANGUARD INDEX FDS VANGUARD TOTAL STK MKT ETF,10.0000,10.0124,0.0124,0.0124,0,0.23
SOXX,ISHARES TR ISHARES SEMICDTR,6.0000,6.0094,0.0094,0.0094,0,0.12
XLF,SELECT SECTOR SPDR TRUST STATE STREET FINANCIAL SELECT SECTOR SPDR ETF,2.0000,1.9934,-0.0066,0.0066,0,0.55
VT,VANGUARD INTL EQUITY INDEX FDS TT WRLD ST ETF,10.0000,10.0053,0.0053,0.0053,0,0.28
VIG,VANGUARD SPECIALIZED FUNDS DIV APP ETF,5.0000,4.9951,-0.0049,0.0049,0,0.28
VXUS,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,4.0000,3.9959,-0.0041,0.0041,0,0.38
XLK,SELECT SECTOR SPDR TRUST STATE STREET TECHNOLOGY SELECT SECTOR SPDR ETF,2.0000,2.0035,0.0035,0.0035,0,0.15
DGRO,ISHARES TRUST CORE DIVID GWTH,5.0000,5.0032,0.0032,0.0032,0,0.28
XLU,SELECT SECTOR SPDR TRUST STATE STREET UTILITIES SELECT SECTOR SPDR ETF,2.0000,1.9974,-0.0026,0.0026,0,0.45
IAU,ISHARES GOLD TR ISHARES NEW ISIN #US4642852044 SEDOL #BKP74N6,1.5000,1.5014,0.0014,0.0014,0,0.00
VEA,VANGUARD DEVELOPED MARKETS INDEX FUND ETF,3.0000,3.0007,0.0007,0.0007,0,0.33
VWO,VANGUARD INTL EQUITY INDEX FDS FTSE EMR MKT ETF,3.0000,2.9997,-0.0003,0.0003,0,0.43
