proposal,pillar,ticker,name,asset_type,sector,style,region,strategy_bucket,target_weight_pct,role,target_weight_pct_seed,category
FullResearch,Research,XLV,Health Care Select Sector SPDR Fund,ETF,Healthcare,Defensive Growth,US,Sector ETF Basket,2.2,Healthcare anchor with diversified blue-chip exposure,2.2,Health Core
FullResearch,Research,VHT,Vanguard Health Care ETF,ETF,Healthcare,Defensive Growth,US,Sector ETF Basket,2.2,Broader healthcare coverage with biotech tilt,2.2,Health Core
FullResearch,Research,IHF,iShares U.S. Healthcare Providers ETF,ETF,Healthcare,Provider Focus,US,Sector ETF Basket,2.2,Healthcare services and insurers exposure,2.2,Health Core
FullResearch,Research,IHI,iShares U.S. Medical Devices ETF,ETF,Healthcare,Innovation Tilt,US,Sector ETF Basket,2.2,Medical devices growth exposure,2.2,Health Core
FullResearch,Research,XHS,SPDR S&P Health Care Services ETF,ETF,Healthcare,Balanced Services,US,Sector ETF Basket,2.2,Balanced health services allocation,2.2,Health Core
FullResearch,Research,XLP,Consumer Staples Select Sector SPDR Fund,ETF,Consumer Staples,Defensive,US,Sector ETF Basket,1.0,Staples stability and low volatility anchor,1.0,Staples
FullResearch,Research,VDC,Vanguard Consumer Staples ETF,ETF,Consumer Staples,Defensive,US,Sector ETF Basket,1.0,Broad low-cost staples exposure,1.0,Staples
FullResearch,Research,FSTA,Fidelity MSCI Consumer Staples Index ETF,ETF,Consumer Staples,Defensive,US,Sector ETF Basket,1.0,Low-cost staples diversification,1.0,Staples
FullResearch,Research,RHS,Invesco S&P 500 Equal Weight Consumer Staples ETF,ETF,Consumer Staples,Equal Weight,US,Sector ETF Basket,1.0,Equal-weight staples diversification,1.0,Staples
FullResearch,Research,KXI,iShares Global Consumer Staples ETF,ETF,Consumer Staples,Global Defensive,Global,Sector ETF Basket,1.0,Global consumer staples diversification,1.0,Staples
FullResearch,Research,XLI,Industrial Select Sector SPDR Fund,ETF,Industrials,Cyclical Core,US,Sector ETF Basket,2.5,Broad industrial benchmark exposure,2.5,Industrial Growth
FullResearch,Research,VIS,Vanguard Industrials ETF,ETF,Industrials,Cyclical Core,US,Sector ETF Basket,2.5,Low-cost broad industrial exposure,2.5,Industrial Growth
FullResearch,Research,FIDU,Fidelity MSCI Industrials Index ETF,ETF,Industrials,Mid-Small Tilt,US,Sector ETF Basket,2.5,Industrial exposure with mid/small tilt,2.5,Industrial Growth
FullResearch,Research,PPA,Invesco Aerospace & Defense ETF,ETF,Industrials,Defense Tilt,US,Sector ETF Basket,2.5,Aerospace and defense growth tilt,2.5,Industrial Growth
FullResearch,Research,ITA,iShares U.S. Aerospace & Defense ETF,ETF,Industrials,Defense Tilt,US,Sector ETF Basket,2.5,High-momentum aerospace defense exposure,2.5,Industrial Growth
FullResearch,Research,XLE,Energy Select Sector SPDR Fund,ETF,Energy,Cyclical Core,US,Sector ETF Basket,2.0,Energy majors and integrated producers,2.0,Energy Upside
FullResearch,Research,VDE,Vanguard Energy ETF,ETF,Energy,Cyclical Core,US,Sector ETF Basket,2.0,Broader energy exposure including smaller names,2.0,Energy Upside
FullResearch,Research,IEO,iShares U.S. Oil & Gas Exploration & Production ETF,ETF,Energy,Exploration Tilt,US,Sector ETF Basket,2.0,Exploration and production upside tilt,2.0,Energy Upside
FullResearch,Research,XOP,SPDR S&P Oil & Gas Exploration & Production ETF,ETF,Energy,Equal Weight,US,Sector ETF Basket,2.0,Equal-weight high-beta energy exposure,2.0,Energy Upside
FullResearch,Research,OIH,VanEck Oil Services ETF,ETF,Energy,Services Tilt,US,Sector ETF Basket,2.0,Oilfield services cycle exposure,2.0,Energy Upside
FullResearch,Research,XLU,Utilities Select Sector SPDR Fund,ETF,Utilities,Defensive Yield,US,Sector ETF Basket,1.0,Defensive utility blue-chip basket,1.0,Utilities
FullResearch,Research,VPU,Vanguard Utilities ETF,ETF,Utilities,Defensive Yield,US,Sector ETF Basket,1.0,Broad utilities diversification,1.0,Utilities
FullResearch,Research,FUTY,Fidelity MSCI Utilities Index ETF,ETF,Utilities,Defensive Yield,US,Sector ETF Basket,1.0,Low-fee utility exposure,1.0,Utilities
